x,y,timestamp,BSSID,RSSI
812,664,1746010326049,0,0
478,654,1746010408864,0,0
399,466,1746010534898,0,0
394,901,1746010666395,0,0
261,1127,1746010794929,0,0
320,1376,1746010925585,0,0
440,649,1746011514830,0,0
591,661,1746011521971,0,0
734,649,1746011528557,0,0
866,668,1746011535068,0,0
841,668,1746011640800,0,0
751,664,1746011648512,0,0
597,647,1746011653998,0,0
470,639,1746011660626,0,0
397,467,1746011768974,0,0
407,712,1746011776302,0,0
400,899,1746011782499,0,0
383,1188,1746011790997,0,0
348,1344,1746011893835,0,0
391,1114,1746011901315,0,0
393,859,1746011908260,0,0
409,639,1746011914317,0,0